call_duration_sec,caller_risk_score,is_international_origin,time_of_day_hour,script_similarity_max,urgency_phrase_count,caller_complaint_count,callee_age_group,call_count_from_number_24h,spoofing_indicator,is_scam
43,0.27,0,2,0.12,0,0,55-65,4,0.26,0
92,0.15,0,9,0.07,3,0,26-35,3,0.09,0
331,0.83,1,14,0.41,13,11,46-55,58,0.61,1
154,0.14,0,18,0.19,1,2,46-55,3,0.43,0
197,0.17,0,11,0.45,0,0,18-25,4,0.25,0
231,0.3,0,6,0.47,0,1,46-55,2,0.08,0
183,0.87,0,8,0.83,4,7,65+,85,0.36,1
6,0.1,0,13,0.27,2,5,36-45,1,0.39,0
376,0.69,0,10,0.62,5,11,36-45,184,0.66,1
113,0.62,1,11,0.7,8,6,46-55,96,0.81,1
114,0.18,0,4,0.52,0,2,55-65,2,0.24,0
241,0.47,0,13,0.68,11,2,55-65,15,0.68,1
374,0.64,1,7,0.37,10,8,26-35,63,0.74,0
79,0.36,0,1,0.38,1,1,46-55,8,0.36,0
127,0.23,0,20,0.36,0,1,36-45,2,0.04,0
450,0.14,0,4,0.23,1,3,36-45,1,0.09,0
25,0.18,0,19,0.27,1,2,18-25,2,0.29,0
33,0.24,0,21,0.52,0,1,18-25,4,0.18,0
183,0.37,0,10,0.56,0,0,65+,18,0.48,1
28,0.36,0,11,0.29,2,1,46-55,26,0.32,0
229,0.62,0,3,0.71,1,2,18-25,8,0.48,0
391,0.23,0,19,0.01,0,1,36-45,1,0.75,0
103,0.08,0,10,0.22,0,1,26-35,4,0.4,0
50,0.48,1,10,0.33,0,1,18-25,7,0.32,0
68,0.44,0,10,0.22,2,3,26-35,8,0.21,0
88,0.08,0,3,0.11,0,2,18-25,2,0.3,0
66,0.22,0,22,0.39,2,3,18-25,2,0.08,0
45,0.1,0,8,0.33,0,0,18-25,1,0.32,0
22,0.11,0,21,0.33,1,2,46-55,6,0.27,0
93,0.34,0,10,0.12,0,0,55-65,9,0.06,0
27,0.16,0,2,0.67,0,1,26-35,1,0.37,0
34,0.74,1,8,0.15,1,11,55-65,313,0.7,1
139,0.15,0,10,0.52,1,2,36-45,32,0.18,0
52,0.16,0,4,0.55,0,4,36-45,1,0.28,0
274,0.73,1,11,0.67,9,8,46-55,46,0.64,0
